1,17.1748
2,32.1036
3,28.3604
4,20.0813
5,8.0325
6,1.8496
7,2.3403
8,-0.6606
9,-1.4679
10,-1.9553
11,-4.8041
12,-4.2937
13,-2.9472
14,-0.4152
15,-1.9024
16,-3.9304
17,-4.6318
18,-3.0239
19,-2.0999
20,-2.0742
21,-2.68
22,-1.5613
23,-0.6778
24,0.9909
25,1.7016
26,1.687
27,2.6618
28,2.3026
29,3.4076
30,3.2236
31,5.1311
32,6.1846
33,5.1644
34,5.4555
35,4.288
36,3.9194
37,3.3421
38,2.976
39,1.8293
40,2.0279
41,1.1407
42,0.044
43,0.1659
44,-0.018
45,-0.5108
46,0.471
47,0.2586
48,-0.7927
49,-1.1216
50,-0.8297
51,-1.145
52,-1.1179
53,-1.2763
54,-1.7224
55,-1.5373
56,-1.5052
57,-1.8681
58,-2.2186
59,-2.4766
60,-3.0694
61,-3.0451
62,-3.3796
63,-3.2546
64,-2.1179
65,-1.9837
66,-2.298
67,-2.1966
68,-2.1721
69,-1.9109
70,-1.2117
71,-0.9341
72,-0.8808
73,-0.4199
74,-0.507
75,-0.4615
76,-0.1495
77,-0.175
78,-0.3489
79,-0.5519
80,-0.9281
81,-1.0406
82,-1.2084
83,-1.0633
84,-1.5854
85,-2.2195
86,-2.5624
87,-3.0796
88,-3.2488
89,-3.6992
90,-3.8577
91,-4.0476
92,-4.3023
93,-4.8527
94,-5.6443
95,-5.8742
96,-6.0827
97,-6.4341
98,-6.665
99,-6.9073
100,-7.113
101,-7.4873
102,-7.8077
103,-7.8191
104,-7.6626
105,-7.8513
106,-8.0515
107,-7.7169
108,-7.9733
109,-8.5062
110,-8.7219
111,-8.5933
112,-8.6959
113,-9.0492
114,-9.0069
115,-9.3743
116,-9.8857
117,-10.1626
118,-10.3944
119,-10.6979
120,-11.0755
121,-11.2417
122,-11.1192
123,-11.2952
124,-11.43
125,-11.5541
126,-11.8609
127,-11.8382
128,-11.8324
129,-12.0316
130,-12.0813
131,-12.4167
132,-12.6589
133,-12.8538
134,-12.7066
135,-12.7025
136,-12.8889
137,-12.6906
138,-12.8361
139,-13.0479
140,-13.351
141,-13.6124
142,-13.6505
143,-13.6992
144,-13.5784
145,-13.6123
146,-13.8014
147,-13.8908
148,-13.8398
149,-14.0023
150,-14.1274
151,-14.3803
152,-14.3378
153,-14.4099
154,-14.4193
155,-14.7626
156,-14.8238
157,-14.891
158,-15.0677
159,-15.1557
160,-15.2294
161,-15.4401
162,-15.6481
163,-15.591
164,-15.5475
165,-15.5142
166,-15.6977
167,-15.784
168,-15.7498
169,-15.8349
170,-16.0775
171,-16.1071
172,-16.2899
173,-16.5226
174,-16.6463
175,-16.5331
